case_id,scenario,expected,coverage_status,evidence_or_candidate,gap_or_next,platform_baseline,python_baseline,review_date
X01,prepare 扩展启用/legacy/失败,扩展值与真实登记及协商一致；旧字段兼容，不伪造 v1,PASS,VoiceProcessTests; VoiceRealRunnerTests; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; legacy-prepare.log + 既有正常及重复prepare验证：扩展/legacy/能力子集/失败均通过，等待期限另按X04,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X02,ready 使用 state；误用 runtimeState,正例通过；反例拒绝，不能进入已准备,PASS,VoiceProcessTests; VoiceRealRunnerTests; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; ready-field.log：runtimeState别名不能完成READY；state正例通过,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X03,参数 short v1 与 JSON long algorithm.command.v1,真实 runner 可解析 Java 实际参数，版本不混用,PASS,VoiceProcessTests; VoiceRealRunnerTests; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; python-query-cli.log：真实短参数v1协商长协议名，长协议名CLI拒绝；13项通过,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X04,ready/首帧分别接近 60 秒或超时/进程提前退出,与顺序等待边界一致；浏览器超时不会重复启动,PASS,VoiceProcessTests; VoiceRealRunnerTests; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; prepare-deadline-*.json / prepare-frame-deadline-retest.log / prepare-timeout-browser：三个真实等待窗口、提前退出及浏览器133秒仅一次prepare,按关联报告界定的分支和层级验收通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X05,iframe load 早于 Bridge ready、HELLO 丢失与重试,后续可握手；重复 HELLO 不重建场景/重复驱动,PASS,HANDOFF-20260922.md; HTTP-EVIDENCE-20260922.md; INTEGRATED-DUAL-ACCOUNT-ACCEPTANCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; hello-repeat-browser：丢前三次HELLO后恢复，再重复10次不换绑定/场景或重复prepare,按关联报告界定的分支和层级验收通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X06,错 origin、同 origin 错 source、伪造 payload 身份,消息不被接受，零 HTTP 展示报告,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/browser-injection.json,真实 Edge/WebGL：对捕获的真实待处理报告注入错 origin、错 source、错误 binding/generation，4 项均零对应 HTTP 上报。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
X07,iframe 重载、sceneRevision 增加、旧绑定迟到,旧回复不影响新会话；新绑定清除旧就绪,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/browser-injection.json; http-gaps.json; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; iframe-browser + scene-revision-browser：换iframe新实例与同实例sceneRevision递增分别验证，旧报告零HTTP,按关联报告界定的分支和层级验收通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
X08,场景与帧探测同时触发,前端串行；服务端当前挑战不会被并发覆盖后误报成功,PASS,REAL-FAULT-RESTART-BROWSER-20260922.md; evidence/real-fault-restart-20260922/browser-overlap-verified/browser-competition.json,真实WebGL场景challenge响应延迟8秒，明确断言延迟期间已观察SUCCEEDED；同时在途challenge最多1，随后FRAME_APPLIED真实报告完成。前两轮未验证实际重叠，仅最终加强轮用于本项通过。,ae46345 + local acceptance/frontend changes,2fe4d1e + local P14 fix,2026-09-22
X09,同 key 重放报告、新 key 上传旧挑战,都不续期；没有新 Unity 回应不能保持 sceneReady,PASS,VoiceControlTests.presentationBindingEvidenceExpiresAndReplayCannotRefresh; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; report-replay-retest-browser/browser-report-replay.json：新报告阻断12秒，同key200/新key409，sceneReady仍false,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X10,PAUSED 无新位姿而 Bridge 健康,新鲜场景探测仍成功；不把暂停等于离线,PASS,HANDOFF-20260922.md; HTTP-EVIDENCE-20260922.md; INTEGRATED-DUAL-ACCOUNT-ACCEPTANCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/paused-browser/browser-paused.json,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
X11,TIMED_OUT/FAILED 申请 FRAME_APPLIED,拒绝执行级成功画面关联；算法结果不变,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#unsuccessfulExecutionCannotAcquireFrameChallenge,H2/service 参数化：TIMED_OUT/FAILED/REJECTED/INVALIDATED 均拒绝帧挑战，执行状态保持；不是伪造的真实 Unity 验收。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
X12,报告帧低于结果帧或高于已接收权威帧,拒绝；合法范围内才更新展示,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#presentationFrameBounds,H2/service：结果帧 3、权威最新帧 5；帧 2/6 拒绝，3/5 接受，算法成功与命令次数不变。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
